,Pincode,Districtname
481,244717,UDHAM SINGH NAGAR
1606,246142,PAURI GARHWAL
9210,248011,DEHRADUN
9211,248012,DEHRADUN
9268,248015,DEHRADUN
9269,248016,DEHRADUN
9277,248122,DEHRADUN
9703,248146,DEHRADUN
9811,248158,ALMORA
10748,249126,UTTARKASHI
11139,249137,TEHRI GARHWAL
11238,249141,TEHRI GARHWAL
11633,249151,TEHRI GARHWAL
13441,249192,UTTARKASHI
13594,249195,UTTARKASHI
13768,249203,DEHRADUN
14107,249410,HARIDWAR
14108,249411,HARIDWAR
14111,251327,HARIDWAR
14118,262308,NAINITAL
14303,262310,NAINITAL
14536,262405,NAINITAL
15416,262523,PITHORAGARH
15973,262525,PITHORAGARH
17569,262545,CHAMPAWAT
18023,262553,CHAMPAWAT
18529,262580,PITHORAGARH
20660,263619,ALMORA
23674,263652,BAGESHWAR
